"","mturk_id","train_type","stim_type","xdist","block","V1"
"448","A22LA9VJV5KNKF","TRAIN","HD",0,0,0.375
"449","A22LA9VJV5KNKF","TRAIN","HD",0,1,0.357142857142857
"450","A22LA9VJV5KNKF","TRAIN","HD",0,2,0.125
"451","A22LA9VJV5KNKF","TRAIN","HD",0,3,0.233333333333333
"452","A22LA9VJV5KNKF","TRAIN","HD",1,0,0.1875
"453","A22LA9VJV5KNKF","TRAIN","HD",1,1,0.2
"454","A22LA9VJV5KNKF","TRAIN","HD",1,2,0.0249999999999999
"455","A22LA9VJV5KNKF","TRAIN","HD",1,3,-0.142857142857143
"456","A22LA9VJV5KNKF","TRAIN","HD",2,0,3.14018491736755e-16
"457","A22LA9VJV5KNKF","TRAIN","HD",2,1,0
"458","A22LA9VJV5KNKF","TRAIN","HD",2,2,3.14018491736755e-16
"459","A22LA9VJV5KNKF","TRAIN","HD",2,3,3.14018491736755e-16
"463","A243WFHSDFVAON","TRAIN","HD",0,0,-0.166666666666667
"464","A243WFHSDFVAON","TRAIN","HD",0,1,-0.25
"465","A243WFHSDFVAON","TRAIN","HD",0,2,-0.6
"466","A243WFHSDFVAON","TRAIN","HD",0,3,0.0999999999999998
"467","A243WFHSDFVAON","TRAIN","HD",1,0,0.0555555555555554
"468","A243WFHSDFVAON","TRAIN","HD",1,1,-0.0972222222222223
"469","A243WFHSDFVAON","TRAIN","HD",1,2,0.214285714285714
"470","A243WFHSDFVAON","TRAIN","HD",1,3,0.0714285714285713
